label,HC_1,HC_1,HC_2,HC_2,HC_3,HC_3,SS_1,SS_1,SS_2,SS_2,SS_3,SS_3
read,R1,R2,R1,R2,R1,R2,R1,R2,R1,R2,R1,R2
module,,,,,,,,,,,,
Adapter Content,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Basic Statistics,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Overrepresented sequences,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Per base N content,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Per base sequence content,FAIL,WARN,FAIL,WARN,FAIL,WARN,FAIL,WARN,FAIL,WARN,FAIL,WARN
Per base sequence quality,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Per sequence GC content,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Per sequence quality scores,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Sequence Duplication Levels,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Sequence Length Distribution,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
